频道	房源	区域	户型	价格	总条数	pending	ready	published	最近更新
SuxingFC	同款公寓咱都有房源，从未变过工作，过去我们为你的出行住宿提供便捷，未来我们为你的出行住宿提供品质与众不同。	金边	公寓		1	1	0	0	2026-04-19 16:35:01
SuxingFC	客户指定，原件黑色（1处破裂口）做军绿色+无痕修复 ，完工	金边	公寓		1	1	0	0	2026-04-19 16:35:01
SuxingFC	川崎636 满税 2019 金边现车	金边	公寓		1	1	0	0	2026-04-19 16:35:01
SuxingFC	我这人说话比较直接，如果和我的沟通中，我的发言让你感到不适，请别怀疑	金边	公寓		1	1	0	0	2026-04-19 16:35:01
SuxingFC	藏锋工艺	金边	公寓		1	1	0	0	2026-04-19 16:35:01
SuxingFC	金边公寓 出售 1居室 1厅 52㎡ $7.8万 时代 现房 装修家具家电齐 硬卡	俄罗斯市场	1房	7	1	1	0	0	2026-04-19 16:35:01
SuxingFC	金边公寓 出租 1居室 55㎡ $430 太子幸福广场 精装修 优选单身公寓	俄罗斯市场	1房	430	1	0	0	1	2026-04-17 10:30:49
SuxingFC	金边公寓 出租 1居室 55㎡ 太子幸福广场 简奢风格 优选单身公寓	俄罗斯市场	1房		1	1	0	0	2026-04-19 16:35:02
SuxingFC	金边公寓 出租 1居室 75㎡ 2004路 皇家公寓 家电具齐全	俄罗斯市场	1房		1	1	0	0	2026-04-19 16:35:02
SuxingFC	金边公寓 出租 2居室 2卫 80㎡ $1000 时代广场 家具家电配齐 首次	俄罗斯市场	2房	1000	1	0	0	1	2026-04-18 11:00:41
SuxingFC	金边别墅 出租 4居室 5卫 358㎡ 金宝城附近 双拼 性价比仅此一家 配备齐全 现代装修	俄罗斯市场	4房		1	1	0	0	2026-04-19 16:35:02
SuxingFC	金边别墅 出租 5居室 6卫 458㎡ 旧机场附近 独栋别墅	俄罗斯市场	5房		1	1	0	0	2026-04-19 16:35:02
SuxingFC	金边别墅 出租 6居室 7卫 458㎡ 60m ph独栋别墅	俄罗斯市场	5房		1	1	0	0	2026-04-19 16:35:02
SuxingFC	金边别墅 出租 堆谷区市区 独栋带泳池 可谈短租 配备齐全 现代装修 性价比优	堆谷区	5房		1	1	0	0	2026-04-19 16:35:01
SuxingFC	金边别墅出租 50米路 有暗门设计 有藏宝阁 很有个性独栋别墅带庭院	金边	6房		1	1	0	0	2026-04-19 16:35:01
d_y888	公寓	金边	公寓		3	3	0	0	2026-04-19 16:35:02
d_y888	DFBA-0319 【双拼别墅出租】	金边	4房		2	2	0	0	2026-04-19 16:35:02
d_y888	36]	金边	公寓		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBA-0091 【独栋别墅出租-王子】	金边	5房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBA-0092 【独栋别墅出租-王后】	金边	6房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBA-0163 【双拼别墅出租】	金边	5房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBA-0264 【独栋别墅出租-国王】	金边	2房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBB-0504 【独栋别墅出售-王子】	金边	1房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBD-0414 【双拼别墅出租】	金边	3房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBD-0587 【独栋别墅出租】	金边	1房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBD-0685 【双拼别墅出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBD-1233 【独栋别墅出租】	BKK1	8房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBE-0683 【双拼别墅出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBE-0688 【双拼别墅出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBG-0689 【双拼别墅出售】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBH-M0353 【双拼别墅出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBU-0271 【独栋别墅出售】	金边	5房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFBU-0991 【独栋别墅出售/出租】	金边	5房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFPA-0666 【联排别墅出租】	金边	3房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFPA-0741 【排屋出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFPB-0173 【排屋出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFPB-0613 【排屋出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFSB-0173 【商铺出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
d_y888	DFSD-0076 【商铺出租】	金边	公寓		1	1	0	0	2026-04-19 16:35:02
d_y888	DFTG-0227 【土地出售】	金边	公寓		1	1	0	0	2026-04-19 16:35:02
d_y888	幸福广场🏢🇰🇭✨	金边	2房		1	1	0	0	2026-04-19 16:35:02
d_y888	捡漏房仅此一套，机不可失	Toul Kork	一房	65000	1	1	0	0	2026-04-16 07:25:04
jinbian654321	公寓	金边	公寓		2	2	0	0	2026-04-19 16:35:02
jinbian654321	10118号：1号公路独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	20813号：1号公路炳发双拼别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	21078号：1号公路炳发2栋双拼	俄罗斯市场	公寓		1	1	0	0	2026-04-19 16:35:02
jinbian654321	21105号: 1号公路炳发独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	21521号：1号公路炳发双拼别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	21760号：1号公路炳发独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	21779号: 1号公路炳发独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	22109号：1号公路炳发独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	22197号：1号公路炳发双拼别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	30434号：永旺2的598路独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	30540号：洪森大道集贸双拼别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	30544号： 洪森大道D区独栋别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	30552号：洪森大道C区独栋别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	30555号：洪森大道C区独栋别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	40892号：1号公路B区双拼别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	51630号：永旺2的598路独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	51662号：271路集贸豪华独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	52012号：永旺2附近E区独栋别墅	俄罗斯市场	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	52111号：洪森大道C区独栋别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	52194号：洪森大道E区双拼别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	52195号：洪森大道E区双拼别墅	洪森大道	别墅		1	1	0	0	2026-04-19 16:35:02
jinbian654321	☀️金边 💕 首都国金	俄罗斯市场	一房		1	1	0	0	2026-04-19 16:35:02
jinbian654321	☀️金边💗幸福广场	俄罗斯市场	一房		1	1	0	0	2026-04-19 16:35:02
jinbian654321	金边💕威尔斯公馆	俄罗斯市场	公寓		1	1	0	0	2026-04-19 16:35:02
jinbian654321	金边💕钻石名邸 ✨	钻石岛	一房	55	1	1	0	0	2026-04-19 16:35:03
jinbian654321	金边💕香格里拉（THE•PEAK）	俄罗斯市场	三房		1	1	0	0	2026-04-19 16:35:02
jinbian654321	🌳一号路炳发城漂亮双拼别墅	俄罗斯市场	1房	1860	1	1	0	0	2026-04-19 15:13:14
jinbian654321	💫金边 富力💕中心城	俄罗斯市场	公寓		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	公寓	金边	公寓		21	21	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	一号路炳发城 公寓	金边	一房		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	公寓出租】Penthouse	金边	2房	800	1	1	0	0	2026-04-16 06:45:02
jinbianfangchanzushou	永旺三附近	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	永旺二附近	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	老机场附近现代小别墅，4房4卫，1500$	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	豪华公寓出租】1号路	金边	1房	1400	1	1	0	0	2026-04-16 06:45:02
jinbianfangchanzushou	雅居乐大量房源出租	金边	一房		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	🌳【漂亮🤩联排别墅出售】	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianfangchanzushou	🏙️【公寓出租】 #香格里拉	金边	公寓	650	1	1	0	0	2026-04-16 06:45:05
jinbianzufang666	公寓	金边	公寓		10	10	0	0	2026-04-19 16:35:02
jinbianzufang666	XJ-S-2099 【独栋别墅出租】 大金欧ML	金边	1房		2	2	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBG-1198 【独栋别墅出租】	金边	5房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBH-M0353 【双拼别墅出租】	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBH-M0355 【双拼别墅出租】	金边	1房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBU-0271 【独栋别墅出售】	金边	5房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBU-0323 【转角独栋别墅出租】	金边	6房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBU-0719 【转角独栋别墅出租】	金边	6房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFBU-0991 【独栋别墅出售/出租】	金边	5房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	DFG-0097 【香格里拉一房一厅出租】	金边	1房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	Time square 5 一房公寓出租⭐️	金边	3房	650	1	1	0	0	2026-04-19 15:13:14
jinbianzufang666	XJ-S-2097 【独栋别墅出租-国王】 洪森大道PH60米	洪森大道	7房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	XJ-S-2100【独栋别墅出租】新机场附近	金边	别墅		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	XJ-S-2101【独栋别墅出租】新机场附近	金边	别墅		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	一号路炳发城两栋双拼别墅出租 #2双拼别墅出租 #一号路炳发城	金边	3房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	一号路炳发城联排别墅出租 #联排别墅出租 #一号路炳发城	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	押1	金边	4房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	永旺一 附近公寓	金边	公寓	1500	1	1	0	0	2026-04-16 06:55:04
jinbianzufang666	香格里拉2+1房出租，900$包物业费 压一付一	金边	1房		1	1	0	0	2026-04-19 16:35:02
jinbianzufang666	🔤🔤🔤🔤	金边	5房		1	1	0	0	2026-04-19 16:35:02
pprealestate_property	🏘️ 🔹Twin Villa for RENT! 🔹	俄罗斯市场	3房	1600	6	2	1	3	2026-04-16 06:35:08
pprealestate_property	♦️独栋别墅出售！♦️	俄罗斯市场	1房	59	3	3	0	0	2026-04-19 16:35:02
pprealestate_property	🏘️ 🔹排屋出租！🔹	俄罗斯市场	4房	750	3	0	1	2	2026-04-16 06:35:08
pprealestate_property	🔹独栋别墅出租！🔹	俄罗斯市场	1房	4500	3	1	1	1	2026-04-19 15:13:14
pprealestate_property	♦️Queen Villa for SALE! ♦️	俄罗斯市场	5房	1500000	1	1	0	0	2026-04-19 16:35:02
pprealestate_property	♦️Villa for SALE！♦️	俄罗斯市场	4房	400000	1	1	0	0	2026-04-19 16:35:02
pprealestate_property	公寓	金边	公寓		1	1	0	0	2026-04-19 16:35:02
pprealestate_property	🏘♦️Twin Villa for SALE! ♦️	俄罗斯市场	4房	410000	1	1	0	0	2026-04-19 16:35:02
pprealestate_property	🏘♦️联排别墅出售！♦️	俄罗斯市场	4房	16	1	1	0	0	2026-04-19 16:35:02
pprealestate_property	🏘️ ♦️双拼别墅出售！♦️	俄罗斯市场	4房	38	1	1	0	0	2026-04-19 16:35:02
pprealestate_property	🏘️ 🔹Shophouse for RENT! 🔹	俄罗斯市场	2房	600	1	0	1	0	2026-04-16 06:35:08
pprealestate_property	🏘️ 🔹联排别墅出租！🔹	俄罗斯市场	4房	2000	1	0	0	1	2026-04-19 14:30:26
pprealestate_property	🔹CASA by Meridian Apartment for RENT! 🔹	钻石岛	1房	800	1	0	0	1	2026-04-19 15:31:56
pprealestate_property	🔹Chroy Changva Apartment for RENT! 🔹	俄罗斯市场	2房	1000	1	0	0	1	2026-04-17 09:04:41
pprealestate_property	🔹Villa for RENT! 🔹	洪森大道	1房	2500	1	0	0	1	2026-04-19 10:30:15
pprealestate_property	🔹富力 公寓出租！🔹	洪森大道	3房	1500	1	0	0	1	2026-04-18 03:30:15
pprealestate_property	🔹时代3 堆谷 公寓出租！🔹	堆谷区	1房	400	1	0	0	1	2026-04-19 15:23:55
pprealestate_property	🔹雅居乐 公寓出租！	BKK1	Studio	499	1	0	0	1	2026-04-18 14:30:24
pprealestate_property	🔹香格里拉 公寓出租！🔹	钻石岛	1房	1500	1	0	0	1	2026-04-17 10:00:38
zufang555	公寓	金边	公寓		6	6	0	0	2026-04-19 16:35:02
zufang555	249永旺一 🇨🇳 Aeon1公寓	金边	1房	1800	1	1	0	0	2026-04-19 15:13:14
zufang555	250🇨🇳 联排别墅	洪森大道	4房	1800	1	0	1	0	2026-04-16 06:40:09
zufang555	251 🇨🇳 双拼别墅	金边	4房	2200	1	1	0	0	2026-04-16 06:40:08
zufang555	252转角 🇨🇳 独栋别墅 永旺3	洪森大道	3房	3500	1	0	0	1	2026-04-18 10:30:17
zufang555	253🇨🇳 独栋别墅	洪森大道	5房	3500	1	0	0	1	2026-04-18 10:00:25
zufang555	254 🇨🇳 双拼别墅 近富力	洪森大道	4房	2000	1	0	0	1	2026-04-18 04:00:14
zufang555	255 🇨🇳 排屋 一号路炳发城	金边	4房	1400	1	1	0	0	2026-04-19 15:13:14
zufang555	256天空树 🇨🇳 SKYTREE	金边	1房	480	1	1	0	0	2026-04-16 06:40:07
zufang555	257🌵太子国际 🇨🇳 广场	金边	2房	800	1	1	0	0	2026-04-16 06:40:07
zufang555	258 炳发城 🇨🇳 王子别墅	金边	5房	5500	1	1	0	0	2026-04-16 06:40:07
zufang555	259集茂 🇨🇳 独栋别墅 永旺3	洪森大道	5房	2500	1	0	1	0	2026-04-16 06:40:09
zufang555	260香格里拉 🇨🇳 一房一厅	金边	1房	850	1	1	0	0	2026-04-16 06:40:06
zufang555	263🌵🇨🇳 独栋别墅	金边	6房	6000	1	1	0	0	2026-04-16 06:40:06
zufang555	268🌵皇后 🇨🇳 独栋别墅	金边	7房	7000	1	1	0	0	2026-04-16 06:40:05
zufang555	269🌵永旺二 🇨🇳 独栋别墅	金边	6房	4000	1	1	0	0	2026-04-19 15:13:14
zufang555	270🌵永旺二 🇨🇳 独栋别墅	金边	6房	4000	1	1	0	0	2026-04-19 15:13:14
zufang555	271🌵永旺二 🇨🇳 独栋别墅	金边	6房	4000	1	1	0	0	2026-04-16 06:40:04
zufang555	272🌵香格里拉 🇨🇳 高端公寓	金边	2房	1500	1	1	0	0	2026-04-16 06:40:04
zufang555	273🌵香格里拉 🇨🇳 城市景观	金边	2房	1400	1	1	0	0	2026-04-16 06:40:04
zufang555	274🌵炳发城 🇨🇳 B户型双拼	金边	4房		1	1	0	0	2026-04-19 16:35:02
zufang555	275🌵王子 🇨🇳 独栋别墅	金边	4房	7000	1	1	0	0	2026-04-16 06:40:03
zufang555	276🌵炳发城 🇨🇳 排屋	金边	4房	800	1	1	0	0	2026-04-16 06:40:03
zufang555	277🌵炳发城 🇨🇳 排屋	金边	4房	1000	1	1	0	0	2026-04-16 06:40:03
zufang555	278🌵啊雷莎 🇨🇳 泳池独栋	金边	9房	5000	1	1	0	0	2026-04-19 15:13:14
