project_entity_id,property_product_type,display_name_cn,source_scope,confidence,notes
project:one-70,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:one-park,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:one-park,服务式公寓,服务式公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:parc-21,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:parc-21,服务式公寓,服务式公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:picasso-city-garden,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:prince-central-plaza,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:prince-international-plaza,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:prince-modern-plaza,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:prince-universe,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:rf-city,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:rf-city,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:rose-garden,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:royal-one,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:sky-villa,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:sky-villa,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:skytree,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-bridge,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-gateway,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-peak,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-pinnacle,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-view,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-view,服务式公寓,服务式公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-1,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-11,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-2,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-3,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-5,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-7,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-8,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:times-square-9,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:tk-royal-one,待核,待核,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:urban-village-1,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:urban-village-1,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:urban-village-2,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:urban-village-2,LA联排,LA联排,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:vila-town,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:vue-aston,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:wealth-mansion,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:wells-mansion,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:xinghe-garden,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-athina,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-light,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-premier,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:peng-huoth-chamkardong,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:peng-huoth-veng-sreng,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-quateria,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-herminus,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-emerald-ii,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-mercurean-i,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-capital-one,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-polaris-23-condominium,公寓,公寓,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-polaris-ii,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-euro-ville,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-diamond,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-diamond-ii,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-diamond-ii,LA联排,LA联排,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-diamond-ii,Prince Villa,Prince Villa,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-diamond-ii,Queen Villa,Queen Villa,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-diamond-ii,King Villa,King Villa,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-munirah,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-roseville,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-mastery,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-mera-garden,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-eco-romance,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-eco-varanda,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-eco-sunrise,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-eternal,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-natural,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-mercurean-ii,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-jumeirah,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-rosato,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-paradigm,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-polaris-i,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-eco-melody,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-star-platinum-eco-delta,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,HIGH,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-the-royal,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-the-royal,LA联排,LA联排,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-the-royal,店屋,店屋,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-the-royal,双拼别墅,双拼别墅,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-the-royal,Queen Villa,Queen Villa,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-the-grand,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-botanic-city,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:orkide-pochentong,Borey/社区住宅,Borey/社区住宅,PROJECT_OFFICIAL,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-park-land-598,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-park-land-50m,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-park-land-sen-sok,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-park-land-tk,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-park-land-6a,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-landmark-271,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-landmark-60m,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-grand-phnom-penh-city,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-landriche-chamkar-dong,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chip-mong-park-land-tk-condo,公寓,公寓,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:new-world-kour-srov-1-2,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:new-world-kour-srov-3,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:piphup-thmey-sen-sok,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:piphup-thmey-chamkar-dong,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:piphup-thmey-nr4,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:chankiri-palm-creek,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
project:the-palms,Borey/社区住宅,Borey/社区住宅,REGISTRY_DERIVED,MEDIUM,产品类型是项目/房屋类型，不创建独立PROJECT。
