raw_alias,normalized_alias,entity_level,target_display_name,canonical_identity,alias_kind,weight,search_only,conflict_flag,resolution_action,verification_status,notes
1号路炳发,1号路炳发,PROJECT,炳发 Herminus,project:the-star-platinum-herminus,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Mastery,project:the-star-platinum-mastery,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Mercurean I,project:the-star-platinum-mercurean-i,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Mercurean II,project:the-star-platinum-mercurean-ii,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Paradigm,project:the-star-platinum-paradigm,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Polaris I,project:the-star-platinum-polaris-i,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Polaris II,project:the-star-platinum-polaris-ii,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Rosato,project:the-star-platinum-rosato,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Roseville,project:the-star-platinum-roseville,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
1号路炳发,1号路炳发,PROJECT,炳发 Polaris 23 公寓,project:the-star-polaris-23-condominium,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,“1号路炳发”与“一号路炳发”等价，仅作为family+geo候选。
2004奥凯德,2004奥凯德,FAMILY / MARKET_GEO,Orkide / 奥凯德,family:orkide,FAMILY_GEO,70,True,True,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,2004路优先The Royal/The Grand但仍需项目词；品牌词不得单独定项目。
2004奥凯德,2004奥凯德,PROJECT,奥凯德 The Royal（别墅社区）,project:orkide-the-royal,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,VERIFIED,
2004奥凯德Grand,2004奥凯德grand,PROJECT,奥凯德 The Grand,project:orkide-the-grand,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
2004奥凯德公寓,2004奥凯德公寓,PROJECT,奥凯德皇家公寓,project:new:orkide-the-royal-condominium,NEW_VERIFIED_ALIAS,95,False,False,DIRECT_RESOLVE,VERIFIED,V3仅有Orkide The Royal别墅社区，本轮确认The Royal Condominium为独立真实公寓项目，必须拆开。
217炳发,217炳发,PROJECT,炳发 The Star Eternal,project:the-star-eternal,FAMILY_GEO,70,True,False,DIRECT_RESOLVE,VERIFIED,
271,271,PROJECT,太子幸福广场,project:the-pinnacle,PROJECT_LANDMARK,85,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯GEO/地标词不能直接解析到具体PROJECT。
271 Chip Mong,271chipmong,PROJECT,集茂271,project:chip-mong-landmark-271,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,VERIFIED,
2号路Chankiri,2号路chankiri,PROJECT,Chankiri Palm Creek（棕榈溪）,project:chankiri-palm-creek,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,PARTIAL,
371炳发,371炳发,PROJECT,炳发 The Star Natural,project:the-star-natural,FAMILY_GEO,70,True,False,DIRECT_RESOLVE,VERIFIED,
4号路Piphup Thmey,4号路piphupthmey,PROJECT,Piphup Thmey 4号路社区,project:piphup-thmey-nr4,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,NEEDS_VERIFICATION,
50米Chip Mong,50米chipmong,PROJECT,集茂50米,project:chip-mong-park-land-50m,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,VERIFIED,
50米炳发,50米炳发,FAMILY / MARKET_GEO,炳发,family:peng-huoth,FAMILY_GEO,70,True,True,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,先按道路/地标缩小family，再解析具体项目；开发商名“炳发”不得直接当PROJECT。
50米炳发,50米炳发,PROJECT,炳发美拉花园,project:the-star-mera-garden,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
598炳发,598炳发,PROJECT,炳发 The Star Light,project:the-star-light,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
598炳发,598炳发,PROJECT,炳发 The Star Premier,project:the-star-premier,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
598路,598路,PROJECT,集茂598,project:chip-mong-park-land-598,PROJECT_ROAD,90,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯GEO/地标词不能直接解析到具体PROJECT。
60米,60米,PROJECT,首都·国金一期,project:urban-village-1,PROJECT_LANDMARK,85,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯GEO/地标词不能直接解析到具体PROJECT。
60米,60米,PROJECT,首都·国金二期,project:urban-village-2,PROJECT_LANDMARK,85,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯GEO/地标词不能直接解析到具体PROJECT。
60米Chip Mong,60米chipmong,PROJECT,集茂60米,project:chip-mong-landmark-60m,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,VERIFIED,
60米富力城,60米富力城,PROJECT,富力城,project:rf-city,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,VERIFIED,
60米炳发,60米炳发,FAMILY / MARKET_GEO,炳发,family:peng-huoth,FAMILY_GEO,70,True,True,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,先按道路/地标缩小family，再解析具体项目；开发商名“炳发”不得直接当PROJECT。
60米炳发,60米炳发,PROJECT,炳发钻石城,project:the-star-diamond,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
60米炳发,60米炳发,PROJECT,炳发 The Star Diamond II,project:the-star-diamond-ii,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
6A Chip Mong,6achipmong,PROJECT,集茂6A,project:chip-mong-park-land-6a,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,VERIFIED,
6A奥凯德,6a奥凯德,PROJECT,奥凯德 Botanic City,project:orkide-botanic-city,PROJECT_ROAD,90,True,False,DIRECT_RESOLVE,VERIFIED,
6A炳发,6a炳发,PROJECT,炳发朱美拉,project:the-star-jumeirah,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
6A炳发,6a炳发,PROJECT,炳发 The Star Munirah,project:the-star-munirah,FAMILY_GEO,70,True,True,CANDIDATE_ONLY,VERIFIED,
Agile Sky Residence,agileskyresidence,PROJECT,雅居乐天悦（天空公馆）,project:agile-sky-residence,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
BKK,bkk,PROJECT,BKK Mansion,project:bkk-mansion,STRONG_PROJECT_ALIAS,95,True,True,DEPRECATE_PROJECT_ALIAS,NEEDS_VERIFICATION,纯地理词不能直接映射某个PROJECT。；纯GEO/地标词不能直接解析到具体PROJECT。
BKK1,bkk1,PROJECT,王府观邸,project:le-conde-bkk1,STRONG_PROJECT_ALIAS,95,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯地理词不能直接映射某个PROJECT。；纯GEO/地标词不能直接解析到具体PROJECT。
BKK1雅居乐,bkk1雅居乐,PROJECT,雅居乐天悦（天空公馆）,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,官方canonical在BKK3/莫尼旺，BKK1雅居乐应弃用。
BKK3雅居乐,bkk3雅居乐,PROJECT,雅居乐天悦（天空公馆）,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
BKK Mansion,bkkmansion,PROJECT,BKK Mansion,project:bkk-mansion,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,NEEDS_VERIFICATION,
BKK雅居乐,bkk雅居乐,PROJECT,雅居乐天悦（天空公馆）,project:agile-sky-residence,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
Boeung Snor炳发,boeungsnor炳发,PROJECT,炳发 The Star Platinum,project:the-star-platinum,FAMILY_GEO,70,True,False,DIRECT_RESOLVE,VERIFIED,
Borey New World Kour Srov 1&2,boreynewworldkoursrov1&2,PROJECT,新世界 Kour Srov 1&2,project:new-world-kour-srov-1-2,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Borey New World Kour Srov 3,boreynewworldkoursrov3,PROJECT,新世界 Kour Srov 3,project:new-world-kour-srov-3,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Borey Peng Huoth,boreypenghuoth,FAMILY / MARKET_GEO,炳发,family:peng-huoth,AMBIGUOUS_FAMILY,70,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,先按道路/地标缩小family，再解析具体项目；开发商名“炳发”不得直接当PROJECT。
Borey Peng Huoth Chamkardong,boreypenghuothchamkardong,PROJECT,炳发 Chamkar Dong,project:peng-huoth-chamkardong,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Borey Peng Huoth Veng Sreng,boreypenghuothvengsreng,PROJECT,炳发 Veng Sreng,project:peng-huoth-veng-sreng,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Borey Piphup Thmey Chamkar Dong,boreypiphupthmeychamkardong,PROJECT,Piphup Thmey Chamkar Dong,project:piphup-thmey-chamkar-dong,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Borey Piphup Thmey National Road 4,boreypiphupthmeynationalroad4,PROJECT,Piphup Thmey 4号路社区,project:piphup-thmey-nr4,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,NEEDS_VERIFICATION,
Borey Piphup Thmey Sen Sok,boreypiphupthmeysensok,PROJECT,Piphup Thmey 森速社区,project:piphup-thmey-sen-sok,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Bridge,bridge,PROJECT,桥牌公寓（世桥）,project:the-bridge,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
CA&SA,ca&sa,PROJECT,钻石凯撒酒店式公寓,project:new:casa-service-apartment,NEW_VERIFIED_ALIAS,95,False,False,DIRECT_RESOLVE,VERIFIED,与CASA by Meridian不是同一项目，需严格分开。
CASA by Meridian,casabymeridian,PROJECT,钻石庭（CASA Meridian）,project:casa-meridian,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
CASA Meridian,casameridian,PROJECT,钻石庭（CASA Meridian）,project:casa-meridian,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,PARTIAL,
Chamkar Dong,chamkardong,PROJECT,集茂50米,project:chip-mong-park-land-50m,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
Chamkar Dong Chip Mong,chamkardongchipmong,PROJECT,集茂 Land Riche Chamkar Dong,project:chip-mong-landriche-chamkar-dong,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,PARTIAL,
Chamkar Dong Piphup Thmey,chamkardongpiphupthmey,PROJECT,Piphup Thmey Chamkar Dong,project:piphup-thmey-chamkar-dong,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,PARTIAL,
Chamkar Dong炳发,chamkardong炳发,PROJECT,炳发 Chamkar Dong,project:peng-huoth-chamkardong,FAMILY_GEO,70,True,False,DIRECT_RESOLVE,VERIFIED,
Chankiri,chankiri,FAMILY / MARKET_GEO,Chankiri,family:chankiri,FAMILY_GEO,70,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,当前可确认Palm Creek；其它同名/后续分期不自动合并。
Chankiri Palm Creek,chankiripalmcreek,PROJECT,Chankiri Palm Creek（棕榈溪）,project:chankiri-palm-creek,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Chief Tower,chieftower,PROJECT,Chief Tower,project:chief-tower,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,NEEDS_VERIFICATION,
Chip Mong,chipmong,FAMILY / MARKET_GEO,Chip Mong,family:chip-mong,AMBIGUOUS_FAMILY,20,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,道路/项目词优先：598、50M、60M、271、6A、TK、Sen Sok。
Chip Mong 271附近,chipmong271附近,PROJECT,集茂271,project:chip-mong-landmark-271,PROJECT_LANDMARK,85,True,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Grand Phnom Penh City,chipmonggrandphnompenhcity,PROJECT,集茂金边大城,project:chip-mong-grand-phnom-penh-city,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Land,chipmongland,FAMILY / MARKET_GEO,Chip Mong,family:chip-mong,FAMILY_GEO,70,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,道路/项目词优先：598、50M、60M、271、6A、TK、Sen Sok。
Chip Mong Landmark 271,chipmonglandmark271,PROJECT,集茂271,project:chip-mong-landmark-271,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Landmark 60M,chipmonglandmark60m,PROJECT,集茂60米,project:chip-mong-landmark-60m,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Land Riche Chamkar Dong,chipmonglandrichechamkardong,PROJECT,集茂 Land Riche Chamkar Dong,project:chip-mong-landriche-chamkar-dong,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Chip Mong Park Land 50M,chipmongparkland50m,PROJECT,集茂50米,project:chip-mong-park-land-50m,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Park Land 598,chipmongparkland598,PROJECT,集茂598,project:chip-mong-park-land-598,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Park Land 6A,chipmongparkland6a,PROJECT,集茂6A,project:chip-mong-park-land-6a,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Park Land Sen Sok,chipmongparklandsensok,PROJECT,集茂森速,project:chip-mong-park-land-sen-sok,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Chip Mong Park Land TK,chipmongparklandtk,PROJECT,集茂TK,project:chip-mong-park-land-tk,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Chip Mong Park Land TK 公寓,chipmongparklandtk公寓,PROJECT,集茂TK公寓,project:chip-mong-park-land-tk-condo,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
De Castle Royal,decastleroyal,PROJECT,De Castle Royal（德卡斯尔皇家）,project:de-castle-royal,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Diamond Bay Garden,diamondbaygarden,PROJECT,钻石湾花园,project:diamond-bay-garden,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Diamond CA&SA,diamondca&sa,PROJECT,钻石凯撒酒店式公寓,project:new:casa-service-apartment,NEW_VERIFIED_ALIAS,95,False,False,DIRECT_RESOLVE,VERIFIED,与CASA by Meridian不是同一项目，需严格分开。
Diamond CA&SA Service Apartment,diamondca&saserviceapartment,PROJECT,钻石凯撒酒店式公寓,project:new:casa-service-apartment,NEW_VERIFIED_ALIAS,95,False,False,DIRECT_RESOLVE,VERIFIED,与CASA by Meridian不是同一项目，需严格分开。
Diamond One,diamondone,PROJECT,钻石一号,project:diamond-one,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Diamond Twin Tower,diamondtwintower,PROJECT,钻石双子塔,project:diamond-twin-tower,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
Ding Li Tower,dinglitower,PROJECT,鼎利大厦,project:ding-li-tower,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,NEEDS_VERIFICATION,
Eco区炳发,eco区炳发,PROJECT,炳发 Eco Delta,project:the-star-platinum-eco-delta,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,VERIFIED,
Eco区炳发,eco区炳发,PROJECT,炳发 Eco Melody,project:the-star-platinum-eco-melody,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,VERIFIED,
Eco区炳发,eco区炳发,PROJECT,炳发 Eco Romance,project:the-star-platinum-eco-romance,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,VERIFIED,
Eco区炳发,eco区炳发,PROJECT,炳发 Eco Sunrise,project:the-star-platinum-eco-sunrise,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,VERIFIED,
Eco区炳发,eco区炳发,PROJECT,炳发 Eco Varanda,project:the-star-platinum-eco-varanda,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,VERIFIED,
Elite Town,elitetown,FAMILY,名仕城,family:new:elite-town,NEW_VERIFIED_ALIAS,95,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,OCIC官方中文明确“钻石岛名仕城1期和2期”，III为商业住宅项目；裸“名仕城”只到项目family。
Elite Town III,elitetowniii,FAMILY,名仕城,family:new:elite-town,NEW_VERIFIED_ALIAS,95,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,OCIC官方中文明确“钻石岛名仕城1期和2期”，III为商业住宅项目；裸“名仕城”只到项目family。
EnMaison,enmaison,PROJECT,摩根天御,project:morgan-enmaison,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
Factory Phnom Penh附近,factoryphnompenh附近,PROJECT,首都·国金一期,project:urban-village-1,PROJECT_LANDMARK,85,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯GEO/地标词不能直接解析到具体PROJECT。
Factory Phnom Penh附近,factoryphnompenh附近,PROJECT,首都·国金二期,project:urban-village-2,PROJECT_LANDMARK,85,True,True,DEPRECATE_PROJECT_ALIAS,VERIFIED,纯GEO/地标词不能直接解析到具体PROJECT。
Grand Phnom Penh,grandphnompenh,PROJECT,集茂金边大城,project:chip-mong-grand-phnom-penh-city,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
Grand Phnom Penh City,grandphnompenhcity,PROJECT,集茂金边大城,project:chip-mong-grand-phnom-penh-city,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
J1,j1,PROJECT,J Tower 1,project:j-tower-1,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
J2,j2,PROJECT,J Tower 2,project:j-tower-2,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
J3,j3,PROJECT,J Tower 3,project:j-tower-3,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
J Tower,jtower,FAMILY / MARKET_GEO,J Tower,family:j-tower,FAMILY_GEO,70,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,必须有1/2/3或明确地址证据。
J Tower 1,jtower1,PROJECT,J Tower 1,project:j-tower-1,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
J Tower 2,jtower2,PROJECT,J Tower 2,project:j-tower-2,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
J Tower 3,jtower3,PROJECT,J Tower 3,project:j-tower-3,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
J塔,j塔,FAMILY / MARKET_GEO,J Tower,family:j-tower,FAMILY_GEO,70,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,必须有1/2/3或明确地址证据。
Kour Srov新世界,koursrov新世界,FAMILY / MARKET_GEO,New World / 新世界,family:new-world,FAMILY_GEO,70,True,True,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,裸New World只到family；Kour Srov 1&2与3按明确项目名区分。
Kour Srov新世界,koursrov新世界,PROJECT,新世界 Kour Srov 3,project:new-world-kour-srov-3,STRONG_PROJECT_ALIAS,95,True,True,CANDIDATE_ONLY,PARTIAL,
Landmark 271,landmark271,PROJECT,集茂271,project:chip-mong-landmark-271,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Landmark 60M,landmark60m,PROJECT,集茂60米,project:chip-mong-landmark-60m,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Land Riche Chamkar Dong,landrichechamkardong,PROJECT,集茂 Land Riche Chamkar Dong,project:chip-mong-landriche-chamkar-dong,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
La Seine,laseine,PROJECT,塞纳河,project:new:la-seine,NEW_PARTIAL_ALIAS,70,True,False,DIRECT_RESOLVE,PARTIAL,OCIC官方Koh Pich项目列表确认La Seine真实存在；本轮不扩大其住宅/商业细分。
La Vista One,lavistaone,PROJECT,紫晶壹号,project:la-vista-one,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Le Conde,leconde,PROJECT,王府观邸,project:le-conde-bkk1,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
Le Condé,lecondé,PROJECT,王府观邸,project:le-conde-bkk1,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Le Condé BKK1,lecondébkk1,PROJECT,王府观邸,project:le-conde-bkk1,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Mera Garden,meragarden,PROJECT,炳发美拉花园,project:the-star-mera-garden,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,VERIFIED,
MESONG,mesong,PROJECT,金汇 MESONG,project:mesong,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,The Mesa? 为不确定旧alias，禁止自动匹配。
Mong Reththy炳发,mongreththy炳发,PROJECT,炳发 The Star Quateria,project:the-star-quateria,FAMILY_GEO,70,True,False,DIRECT_RESOLVE,VERIFIED,
Monireth炳发,monireth炳发,PROJECT,炳发 The Star Eternal,project:the-star-eternal,FAMILY_GEO,70,True,False,DIRECT_RESOLVE,VERIFIED,
Morgan,morgan,FAMILY / MARKET_GEO,摩根,family:morgan,AMBIGUOUS_FAMILY,20,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,裸Morgan只到family；EnMaison住宅与Tower办公/综合体严格分开。
Morgan EnMaison,morganenmaison,PROJECT,摩根天御,project:morgan-enmaison,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
Morgan Tower,morgantower,PROJECT,摩根大厦,project:morgan-tower,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,VERIFIED,
M Residence,mresidence,PROJECT,M Residence,project:m-residence,EXACT_PROJECT_NAME,100,False,False,DIRECT_RESOLVE,PARTIAL,
New World,newworld,FAMILY / MARKET_GEO,New World / 新世界,family:new-world,AMBIGUOUS_FAMILY,20,True,False,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,裸New World只到family；Kour Srov 1&2与3按明确项目名区分。
New World Kour Srov 1&2,newworldkoursrov1&2,PROJECT,新世界 Kour Srov 1&2,project:new-world-kour-srov-1-2,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,PARTIAL,
New World Kour Srov 3,newworldkoursrov3,PROJECT,新世界 Kour Srov 3,project:new-world-kour-srov-3,STRONG_PROJECT_ALIAS,95,True,False,DIRECT_RESOLVE,PARTIAL,
Norea附近The Palms,norea附近thepalms,PROJECT,The Palms（棕榈社区）,project:the-palms,PROJECT_LANDMARK,85,True,False,DIRECT_RESOLVE,VERIFIED,
Norea附近炳发,norea附近炳发,FAMILY / MARKET_GEO,炳发,family:peng-huoth,FAMILY_GEO,70,True,True,RESOLVE_WITH_PROJECT_OR_GEO_CONTEXT,VERIFIED,先按道路/地标缩小family，再解析具体项目；开发商名“炳发”不得直接当PROJECT。
