project_entity_id,fact_key,fact_value,fact_unit,source_scope,confidence,source_name,source_url,source_date,evidence_text,notes
project:parc-21,electricity_rate,.30,USD/kWh,OWNER_SPECIFIC,MEDIUM,CAM Realty,https://camrealtyservice.com/building/parc-21-residence/,2026-09-18,Rental package.,
project:parc-21,electricity_rate,.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,IPS Cambodia,https://ips-cambodia.com/listing-details/residential/19895-2-bedroom-penthouse-for-sale-parc-21-residence-boeung-trabek-phnom-penh/,2026-09-18,Property/project fee detail.,
project:the-view,electricity_rate,.35,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,CAM Realty,https://camrealtyservice.com/building/the-view-serviced-residence/,2026-09-18,Building rental profile.,
project:sky-villa,electricity_rate,.30,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/sky-villa-serviced-residences/,2026-09-18,Multiple unit listings repeat $0.30/kWh.,
project:sky-villa,water_rate,.70,USD/m3,COMMON_MARKET_PRACTICE,HIGH,CAM Realty,https://camrealtyservice.com/building/sky-villa-serviced-residences/,2026-09-18,Multiple unit listings repeat $0.70/m³.,
project:the-star-mera-garden,project_amenity,花园;儿童区;会所;泳池;PH Mera Mall,,PROJECT_OFFICIAL,HIGH,Borey Peng Huoth,https://boreypenghuoth.com/borey/en/our-properties/the-star-mera-garden/,2026-09-18,"官方项目页列出Garden, Kid Playground, Club House, Swimming Pool, PH Mera Mall。",
project:the-star-diamond-ii,project_amenity,花园;儿童区;会所;泳池,,PROJECT_OFFICIAL,HIGH,Borey Peng Huoth,https://boreyph.preview.forefront.international/en/our-properties/the-star-diamond-ii/,2026-09-18,"项目页列出Garden, Kid Playground, Club House, Swimming Pool。",
project:the-star-platinum-rosato,project_amenity,花园;儿童区;会所;泳池,,PROJECT_OFFICIAL,HIGH,Borey Peng Huoth,https://boreypenghuoth.com/borey/en/our-properties/the-star-platinum-rosato/,2026-09-18,官方项目页列出公共设施。,
project:chip-mong-park-land-598,project_amenity,会所;泳池;儿童区;屋顶花园;社区商场,,PROJECT_OFFICIAL,HIGH,Chip Mong Land,https://chipmongland.com/foundproperty/park-land-598/shop-house,2026-09-18,"官方项目页列出clubhouse, pool, playground, roof garden, Chip Mong 598 Community Mall。",
project:the-palms,project_amenity,人造沙滩;泳池;健身房;按摩池;会所;儿童设施;24小时安保,,PROJECT_OFFICIAL,HIGH,Oxley Holdings,https://www.oxley.com.sg/portfolio/the-palms/,2026-09-18,开发商页面确认206套resort homes、24/7 security、人造沙滩及60+设施。,
project:the-palms,electricity_rate,0.178,USD/kWh,OWNER_SPECIFIC,MEDIUM,CAM Realty,https://camrealtyservice.com/boreys/the-palms/,2026-09-18,一套出租记录电费$0.178/kWh（预付）。,单套租约证据，不升级为项目统一收费。
project:the-palms,water_rate,0.66,USD/m3,OWNER_SPECIFIC,MEDIUM,CAM Realty,https://camrealtyservice.com/boreys/the-palms/,2026-09-18,一套出租记录水费$0.66/m³。,单套租约证据。
project:orkide-the-royal,property_product_type,Twin Villa;Link Villa;ShopHouse,,PROJECT_OFFICIAL,HIGH,Orkide,https://www.orkide.com.kh/our-projects/the-royal,2026-09-18,官方项目页明确Twin Villa、Link Villa、ShopHouse。,
project:chankiri-palm-creek,location,National Road 2; near Hun Sen Blvd/AEON3 direction,,PROJECT_OFFICIAL,HIGH,Urbanland,https://urbanlandasia.com/assets/documents/Chankiri-Palm-Creek-E-Brochure-EN.pdf,2026-09-18,官方brochure称项目位于金边南部2号路，距Hun Sen Blvd及AEON3方向仅数分钟。,
