entity_id,canonical_key,canonical_name_cn,canonical_name_en,project_type,developer,brand,project_family,parent_project,khan,sangkat,locality,primary_road,secondary_roads,canonical_geo_display,public_location_display_cn,market_positioning_cn,market_aliases_cn,search_aliases_cn,verification_status,source_1,source_2,source_3,notes
project:mesong,mesong,MESONG,MESONG,公寓,,,,,Chamkarmon,Tonle Bassac,,,,Tonle Bassac;Chamkarmon,钻石岛,钻石岛,钻石岛,"湄松,MESONG,The Mesa?",PARTIAL,https://www.mesong.com/,,,"Official site confirms MESONG on Diamond Island/Koh Pich. Second independent source not captured this round, so PARTIAL."
project:morgan-enmaison,morgan-enmaison,摩根天御,Morgan EnMaison,公寓社区,Morgan Group / Morganford,Morgan,Morgan,,Chroy Changvar,Chroy Changvar,,Mekong River Road,,水净华,水净华 · 湄公河边,水净华;湄公河边;Norton附近,"水净华,摩根","Morgan EnMaison,EnMaison,摩根天御",VERIFIED,https://www.aps.com.kh/morgan-enmaison-phnom-penh/,https://ips-cambodia.com/project/52-morgan-enmaison/,https://rumavi.com/en/new-developments/cambodia/chroy-changvar/morgan-enmaison,Distinct from Morgan Tower. Bare Morgan/摩根 is family ambiguity and has no canonical project owner.
project:morgan-tower,morgan-tower,摩根大厦,Morgan Tower,办公/综合体（非普通住宅）,Morgan Group,Morgan,Morgan,,,,,,,,金边,水净华;摩根大厦,摩根,"Morgan Tower,摩根大厦,摩根塔",PARTIAL,,,,公开资料主要指向办公产品；不得与 Morgan EnMaison 住宅租住规则混用。
project:olympia-city,olympia-city,Olympia City,Olympia City,综合体住宅,Olympia,,OCIC,,7 Makara / 桑园交界,,,,,7 Makara · Veal Vong,奥林匹克 · 国家体育场旁,奥林匹克;国家体育场旁,"俄市方向,奥林匹克商圈","奥林匹克城,奥林匹亚,Olympia City,Olympia",PARTIAL,,,,商场≠项目。
project:one-70,one-70,ONE 70,ONE 70,公寓,Urban Land,,,,Toul Kork,,,Street 70,,Toul Kork,堆谷 · 70路,,,"170,ONE70,One 70",PARTIAL,https://reinz-dream.com/en/project/one-70,,,Street 70 / Toul Kork and Urban Land reported by one project database. Needs second source.
project:one-park,one-park,One Park,One Park Residence,服务式公寓/住宅,"Graticity Real Estate Development Co., Ltd.",,One Park,,Daun Penh,Srah Chak,,Street R8,,Srah Chak · Daun Penh,PPCC · R8路,Phnom Penh City Center;PPCC;R8路,"森速,堆谷方向","一公园,One Park",VERIFIED,https://oneparkresidence.com/,https://homeabroadcambodia.com/property/one-park-residence/,,Phnom Penh City Center / No.58 Street R8 and Srah Chak/Daun Penh cross-confirmed. CIR：City Centre，近和平宫。Sangkat 未钉。
project:parc-21,parc-21,Parc 21,Parc 21,服务式公寓,,,,,Chamkarmon,Boeung Trabek,,Street 440,,Boeung Trabek,Boeung Trabek · 俄罗斯市场附近,俄罗斯市场附近;Boeung Trabek;BKK1方向,,Parc 21,PARTIAL,,,,
project:picasso-city-garden,picasso-city-garden,毕加索,Picasso City Garden,公寓,,,,,,,,,,,毕加索,,,"毕加索花园,Picasso,Picasso City Garden",NEEDS_VERIFICATION,,,,
project:prince-central-plaza,prince-central-plaza,太子中央广场,Prince Central Plaza,公寓,Prince,,,,Chamkarmon,Tonle Bassac 附近,,Norodom Blvd 216（Waze/地图）,,Tonle Bassac 附近;Chamkarmon,太子中央 · 诺罗敦,独立碑商圈,独立碑商圈,"太子中央,Prince Central Plaza",PARTIAL,,,,地图：216 Norodom。勿与幸福广场合并。
project:prince-international-plaza,prince-international-plaza,太子国际广场,Prince International Plaza,公寓,Prince,,,,Chamkarmon,,,,,Chamkarmon,太子国际广场,太子系,太子系,"太子国际,Prince International Plaza",NEEDS_VERIFICATION,,,,仓库有名，公开坐标交叉不足。
project:prince-modern-plaza,prince-modern-plaza,太子现代广场,Prince Modern Plaza,公寓,Prince,,,,Chamkarmon,,,,,Chamkarmon,太子现代广场,太子系,太子系,"太子现代,Prince Modern Plaza",PARTIAL,,,,太子系二期，与中央/幸福成组。精确门牌未交叉。
project:prince-universe,prince-universe,太子寰宇中心,Prince Universe / 太子·寰宇中心,公寓,Prince,,,,,,,,,,太子寰宇中心,太子系,太子系,"太子寰宇,Prince Universe",NEEDS_VERIFICATION,,,,
project:rf-city,rf-city,富力城,R&F City,大型住宅社区/公寓,广州富力 / R&F Properties Cambodia,,R&F,,Mean Chey,Chak Angrae Leu,,Hun Sen Blvd,"洪森大道,Hun Sen Blvd,Hun Sen Boulevard,60米,60米大道,60米路",Chak Angrae Leu · Mean Chey,60米大道 · 永旺3附近,60米大道;洪森大道;永旺3附近;Chip Mong 271附近,60米富力城;洪森大道富力城;永旺3富力城,"富力,富力中心城,金边中心城,近富力,R&F City,RF City,R and F",VERIFIED,https://www.realestate.com.kh/new-developments/rf-city/,https://aps.com.kh/urban-village-phase-2/,,"60米 is an alias of geo-road:hun-sen. 永旺3附近 is nearby market alias, never project identity."
project:rose-garden,rose-garden,玫瑰滨江园,Rose Garden,公寓社区,OCIC / Canadia Group,,,,Chamkarmon,Tonle Bassac,,Norodom Blvd,,百色河,百色河 · 诺罗敦大道,百色河;Sofitel附近;钻石岛彩虹桥对面,玫瑰滨江园;百色河玫瑰;诺罗敦玫瑰,"玫瑰滨江园,玫瑰滨江,玫瑰园,Rose Garden,Rose Garden Condominium,Rose Garden Condo",VERIFIED,https://www.rosegarden-condo.com/,https://rosegarden-condo.com/contact,https://rosegarden-condo.com/location,"Rose Garden = 玫瑰滨江园. Block 252, Norodom Blvd, Tonle Bassac. Rose Apple is excluded from this alias set and is out of Phnom Penh scope."
project:royal-one,royal-one,皇家一号,Royal One,综合体住宅,Royal Group of Companies (Cambodia),,Royal One,,7 Makara,Monourom,,Monivong Blvd,"莫尼旺大道,Monivong Boulevard",7 Makara · Monourom,7 Makara · 莫尼旺大道,莫尼旺大道;中央市场方向,,"皇家一号,Royal One",PARTIAL,https://www.realtor.com/international/kh/monourom-7-makara-phnom-penh-360107115839/,https://www.realtor.com/international/kh/monourom-7-makara-phnom-penh-350105149267/,,Separate from TK Royal One. Evidence confirms Monivong/Monourom/7 Makara; retained PARTIAL because sources are the same platform family.
project:sky-villa,sky-villa,Sky Villa,Sky Villa,公寓,Greatview Investment / MCC LAND,,,,7 Makara,Veal Vong,,,,Veal Vong;7 Makara,马卡拉 · Veal Vong,,,"天空别墅（易混天空树）,Sky Villa",PARTIAL,https://www.realestate.com.kh/new-developments/sky-villa/,,,"Identity and Veal Vong/7 Makara confirmed by one strong platform; second independent source still missing, so PARTIAL. 勿与 SKYTREE 合并。"
project:skytree,skytree,天空树,SKYTREE,公寓,,,,,,,,,,,天空树 SKYTREE,,,"天空树,SKYTREE,Sky Tree",PARTIAL,,,,频道自有盘名；官方坐标未锁。
project:the-bridge,the-bridge,桥牌 / 世桥,The Bridge,综合体住宅,Oxley + Worldbridge,,Oxley Worldbridge,,Chamkarmon,Tonle Bassac,,National Assembly Street,,百色河,百色河 · 澳洲大使馆附近,百色河;钻石岛附近;金街附近;永旺1附近,桥牌;世桥;钻石岛桥牌;金街桥牌;永旺1桥牌,"桥牌,世桥,桥,The Bridge,Bridge",VERIFIED,https://oxleyworldbridge.com.kh/projects,https://www.oxley.com.sg/portfolio/the-peak-2/,,Canonical GEO is Tonle Bassac. 钻石岛附近/金街附近/永旺1附近 are market/search aliases only.
project:the-gateway,the-gateway,The Gateway,The Gateway,公寓,,,,,,,,,,,The Gateway,,,"网关,The Gateway",NEEDS_VERIFICATION,,,,
project:the-peak,the-peak,The Peak 香格里拉,The Peak,综合体住宅,Oxley Gem + Worldbridge；酒店为 Shangri-La,,Oxley Worldbridge,,Chamkarmon,Tonle Bassac,,Samdach Hun Sen Road,,百色河,百色河 · 永旺1/金界附近,百色河;永旺1附近;金界附近;钻石岛附近,香格里拉;钻石岛香格里拉;金界香格里拉;永旺1香格里拉,"香格里拉,峰会,Peak,The Peak,Peak Residences",VERIFIED,https://www.oxley.com.sg/portfolio/the-peak-2/,https://ips-cambodia.com/projects/tonle-bassac/oxley-worldbridge/66-the-peak-residences/,https://ips-cambodia.com/projects/tonle-bassac/oxley-worldbridge/66-the-peak-residences/,Canonical GEO is Tonle Bassac. Koh Pich/钻石岛 is nearby/market only.
project:the-pinnacle,the-pinnacle,太子幸福广场,The Pinnacle Residence,综合体住宅,Prince Real Estate Group,,Prince,,Chamkarmon,Tonle Bassac,,Preah Monivong Blvd,,百色河,百色河 · 莫尼旺大道,百色河;莫尼旺大道;永旺1方向,"永旺3方向,271,洪森大道口","The Pinnacle,The Pinnacle Residence,Prince Happiness Plaza,太子幸福广场,太子幸福,幸福广场",VERIFIED,https://www.eracambodia.com/projects/thepinnacleresidence,https://www.princerealestate.com/Project/info.aspx?itemid=594,https://www.realestate.com.kh/th/news/prince-real-estate-buyers-ownership-verification-property-transfer/,Single identity. project:prince-happiness-plaza is merged into project:the-pinnacle.
project:the-view,the-view,The View,The View Serviced Residence,服务式公寓,,,,,Boeung Keng Kang,BKK1,,Street 370,,BKK1,BKK1 · 永旺1附近,BKK1;永旺1附近;独立碑附近,,The View,PARTIAL,https://theviewservicedresidence.mydirectstay.com/,,,"Official serviced-residence site confirms No.20 St 370, BKK1; second source still needed. 重名风险高。"
project:times-square-1,times-square-1,时代广场1,Time Square 1,公寓,,,Time Square,,Toul Kork,,,Street 278,,BKK1,BKK1 · 278路,"堆谷,俄罗斯市场方向;时代广场;BKK1","堆谷,俄罗斯市场方向","时代1,时代,Time Square 1,Times Square 1",PARTIAL,,,,英文 Time/Times 混用。按编号拆，禁止合成一个「时代」。
project:times-square-11,times-square-11,时代广场11,Time Square 11,公寓,,,Time Square,,,,,Street 113,,BKK3,BKK3 · 俄罗斯市场附近,时代广场;BKK3,,"时代11,Time Square 11",NEEDS_VERIFICATION,,,,
project:times-square-2,times-square-2,时代广场2,Time Square 2,公寓,,,Time Square,,Toul Kork,,,Street 317,,堆谷,堆谷 · TK Avenue附近,堆谷;时代广场,堆谷,"时代2,Time Square 2",PARTIAL,,,,
project:times-square-3,times-square-3,时代广场3,Time Square 3,公寓,,,Time Square,,Toul Kork,,,Street 335 / 317,,堆谷,堆谷 · TK Avenue附近,堆谷;时代广场,堆谷,"时代3,Time Square 3",PARTIAL,,,,频道：「时代3 堆谷」。
project:times-square-5,times-square-5,时代广场5,Time Square 5,公寓,,,Time Square,,Toul Kork,,,Street 306,,BKK1,BKK1 · 306路,堆谷;时代广场;BKK1,堆谷,"时代5,Time Square 5",PARTIAL,,,,
project:times-square-7,times-square-7,时代广场7,Time Square 7,公寓,,,Time Square,,,,,Street 335/538/540,,堆谷,堆谷 · TK Avenue附近,时代广场;堆谷,,"时代7,Time Square 7",NEEDS_VERIFICATION,,,,
project:times-square-8,times-square-8,时代广场8,Time Square 8,公寓,,,Time Square,,,,,Street 410,,BKK/Chamkarmon（待核）,410路 · 具体行政区待核,时代广场;BKK/Chamkarmon（待核）,,"时代8,Time Square 8",NEEDS_VERIFICATION,,,,
project:times-square-9,times-square-9,时代广场9,Time Square 9,公寓,,,Time Square,,,,,Street 278,,BKK1,BKK1 · 278路,时代广场;BKK1,,"时代9,Time Square 9",NEEDS_VERIFICATION,,,,
project:tk-royal-one,tk-royal-one,TK Royal One,TK Royal One,综合体住宅,,,Royal One,,Toul Kork,,,Russian Federation Blvd,,堆谷,堆谷 · 俄罗斯大道,TK;俄罗斯大道;TK Avenue附近,"TK,堆谷","TK Royal One,TK皇家一号",PARTIAL,https://www.aps.com.kh/properties/tk-royal-one-grade-b-office-space-for-lease-khan-toul-kork/,,,Separate from Royal One. Bare Royal One/皇家一号 must not resolve here.
project:urban-village-1,urban-village-1,首都·国金一期,Urban Village Phase 1,公寓社区,Urban Living Solutions / Goldfame Group,,Urban Village,,Mean Chey,Chak Angrae Leu,,Hun Sen Blvd,,Chak Angrae Leu;Mean Chey,60米大道 · Factory Phnom Penh旁,60米大道;永旺3附近;Factory Phnom Penh旁;ISPP附近,"60米,Factory Phnom Penh附近","Urban Village Phase 1,Urban Village 1,UV1,首都国金一期,国金一期",VERIFIED,https://aps.com.kh/urban-village-phase-1/,https://www.waze.com/live-map/directions/kh/phnom-penh/pp/urban-village-phase-1-%28uv1%29?to=place.ChIJfzTySlhRCTERrKRhqkjFs4Q,,Phase 1 is a distinct project. Bare Urban Village/首都国金 is family ambiguity and cannot select a phase.
project:urban-village-2,urban-village-2,首都·国金二期,Urban Village Phase 2,公寓社区,Urban Living Solutions / Goldfame Group,,Urban Village,,Mean Chey,Chak Angrae Leu,,Hun Sen Blvd,,Chak Angrae Leu;Mean Chey,60米大道 · Factory Phnom Penh旁,60米大道;永旺3附近;Factory Phnom Penh旁,"60米,Factory Phnom Penh附近","Urban Village Phase 2,Urban Village 2,UV2,首都国金二期,国金二期",VERIFIED,https://aps.com.kh/urban-village-phase-2/,https://www.eracambodia.com/projects/urbanvillage2,https://www.realestate.com.kh/new-developments/urban-village-phase-2/,Phase 2 is a distinct project. Bare Urban Village/首都国金 is family ambiguity and cannot select a phase.
project:vila-town,vila-town,Vila Town,Vila Town,Borey/别墅社区,,,,,,,,,,,Vila Town,,,"维拉,Vila Town",NEEDS_VERIFICATION,,,,
project:vue-aston,vue-aston,Vue Aston,Vue Aston,公寓,"The Peninsula Capital Co., Ltd.",,,,Chbar Ampov,Nirouth,,Street 349,,Nirouth · Chbar Ampov,诺利亚 · 河边,Norea;诺利亚;钻石岛对岸;河边,"钻石岛方向,铁桥头方向",Vue Aston,PARTIAL,https://vueaston.com/,https://vueaston.com/design/,,"Official site confirms St 349, Nirouth, Chbar Ampov and Koh Norea locality. Same owner source only; prior research had additional local sources, but strict current-round independent-source rule keeps PARTIAL. 官网/LinkedIn：St 349, Sangkat Nirouth, Chbar Ampov, Koh Norea。"
project:wealth-mansion,wealth-mansion,财富大厦,Wealth Mansion,公寓,"Everhealth International Investment and Development Co., Ltd.",,,,Chroy Changvar,Chroy Changvar,,St. Be Tong / High School Road,,水净华,水净华 · 河边,水净华;日本桥附近;河边;Norton附近,,"财富大厦,威尔斯公馆,Wealth Mansion",VERIFIED,https://wealthmansioncambodia.com/property-details/,https://www.aps.com.kh/wealth-mansion-phnom-penh/,https://www.realestate.com.kh/new-developments/wealth-mansion/,"Wealth Mansion identity, developer and Chroy Changvar/St Be Tong address cross-confirmed. Chinese '威尔斯公馆' is retained as market alias, not used as English canonical name. 仓库白名单有，坐标未核。"
project:wells-mansion,wells-mansion,威尔斯公馆,Wells Mansion?,公寓,,,,,,,,,,,威尔斯公馆,,,威尔斯,NEEDS_VERIFICATION,,,,频道用名。
project:xinghe-garden,xinghe-garden,金边星河花园,Phnom Penh Galaxy Garden,公寓,Shanghai JINGDI Group,,,,Sen Sok,Phnom Penh Thmey,,,,Phnom Penh Thmey;Sen Sok,森速 · Phnom Penh Thmey,,,星河花园,PARTIAL,,,,
project:the-star-platinum,the-star-platinum,炳发 The Star Platinum,The Star Platinum,Borey综合社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,一号路 · 炳发,铁桥头;一号路炳发;Boeung Snor炳发,铁桥头;一号路炳发;Boeung Snor炳发,The Star Platinum;炳发 The Star Platinum;铁桥头;一号路炳发;Boeung Snor炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-platinum-athina,the-star-platinum-athina,炳发 Athina,The Star Platinum Athina,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Athina;炳发 Athina;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-light,the-star-light,炳发 The Star Light,The Star Light,Borey/住宅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Street 598,,,598路 · 炳发,598炳发;森速方向炳发,598炳发;森速方向炳发,The Star Light;炳发 The Star Light;598炳发;森速方向炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-premier,the-star-premier,炳发 The Star Premier,The Star Premier,Borey/住宅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Street 598,,,598路 · 炳发,598炳发;森速方向炳发,598炳发;森速方向炳发,The Star Premier;炳发 The Star Premier;598炳发;森速方向炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:peng-huoth-chamkardong,peng-huoth-chamkardong,炳发 Chamkar Dong,Borey Peng Huoth Chamkardong,Borey/住宅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Chamkar Dong Street,,,Chamkar Dong · 炳发,Chamkar Dong炳发,Chamkar Dong炳发,Borey Peng Huoth Chamkardong;炳发 Chamkar Dong;Chamkar Dong炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:peng-huoth-veng-sreng,peng-huoth-veng-sreng,炳发 Veng Sreng,Borey Peng Huoth Veng Sreng,Borey/住宅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Veng Sreng Street,,,Veng Sreng路 · 炳发,Veng Sreng炳发,Veng Sreng炳发,Borey Peng Huoth Veng Sreng;炳发 Veng Sreng;Veng Sreng炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-quateria,the-star-quateria,炳发 The Star Quateria,The Star Quateria,Borey/住宅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Street 1928 (Oknha Mong Reth Thy),,,森速 · Mong Reththy路炳发,森速炳发;Mong Reththy炳发,森速炳发;Mong Reththy炳发,The Star Quateria;炳发 The Star Quateria;森速炳发;Mong Reththy炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-platinum-herminus,the-star-platinum-herminus,炳发 Herminus,The Star Platinum Herminus,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Herminus;炳发 Herminus;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-emerald-ii,the-star-emerald-ii,炳发 The Star Emerald II,The Star Emerald II,Borey/住宅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Street 1928 (Oknha Mong Reth Thy),,,森速 · Mong Reththy路炳发,森速炳发,森速炳发,The Star Emerald II;炳发 The Star Emerald II;森速炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目。
project:the-star-platinum-mercurean-i,the-star-platinum-mercurean-i,炳发 Mercurean I,The Star Platinum Mercurean I,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Mercurean I;炳发 Mercurean I;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;独栋别墅
project:the-star-platinum-capital-one,the-star-platinum-capital-one,炳发 Capital One,The Star Platinum Capital One,Borey/店屋社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Capital One;炳发 Capital One;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：店屋
project:the-star-polaris-23-condominium,the-star-polaris-23-condominium,炳发 Polaris 23 公寓,The Star Polaris 23 Condominium,公寓,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Polaris 23 Condominium;炳发 Polaris 23 公寓;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：公寓
project:the-star-platinum-polaris-ii,the-star-platinum-polaris-ii,炳发 Polaris II,The Star Platinum Polaris II,Borey/店屋社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发,一号路炳发;铁桥头炳发,The Star Platinum Polaris II;炳发 Polaris II;一号路炳发;铁桥头炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：店屋
project:the-star-platinum-euro-ville,the-star-platinum-euro-ville,炳发 Euro Ville,The Star Platinum Euro Ville,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,National Road No. 1,,,铁桥头 · 一号路炳发,一号路炳发;铁桥头炳发;Norea附近炳发,一号路炳发;铁桥头炳发;Norea附近炳发,The Star Platinum Euro Ville;炳发 Euro Ville;一号路炳发;铁桥头炳发;Norea附近炳发,PARTIAL,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;双拼别墅;独栋别墅
project:the-star-diamond,the-star-diamond,炳发 The Star Diamond,The Star Diamond,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Samdech Techo Hun Sen Blvd (60m road),,,60米大道 · 永旺3附近,60米炳发;洪森大道炳发;永旺3炳发;永旺3附近炳发,60米炳发;洪森大道炳发;永旺3炳发;永旺3附近炳发,The Star Diamond;炳发 The Star Diamond;60米炳发;洪森大道炳发;永旺3炳发;永旺3附近炳发,VERIFIED,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：联排住宅;店屋;双拼别墅;独栋别墅
project:the-star-diamond-ii,the-star-diamond-ii,炳发 The Star Diamond II,The Star Diamond II,Borey/别墅社区,Borey Peng Huoth,Borey Peng Huoth,Peng Huoth,,,,,Samdech Techo Hun Sen Blvd (60m road),,,60米大道 · 永旺3附近,60米炳发;洪森大道炳发;永旺3炳发,60米炳发;洪森大道炳发;永旺3炳发,The Star Diamond II;炳发 The Star Diamond II;60米炳发;洪森大道炳发;永旺3炳发,VERIFIED,https://boreypenghuoth.com/borey/en/project-listing/,,,官方项目列表确认独立项目；产品类型：店屋;独栋别墅;Prince Villa;Queen Villa;King Villa
