project_entity_id,canonical_name_cn,canonical_name_en,electricity_rate_min,electricity_rate_max,electricity_unit,electricity_scope,electricity_confidence,water_rate_min,water_rate_max,water_unit,water_scope,water_confidence,management_fee_min,management_fee_max,management_fee_unit,management_fee_scope,internet_included_common,car_parking_fee_min,car_parking_fee_max,motorbike_parking_fee_min,motorbike_parking_fee_max,deposit_months_typical,minimum_lease_months,pool,gym,sauna,steam_room,jacuzzi,kids_playground,garden,rooftop,coworking,security_24h,reception,concierge,access_card,cctv,generator,backup_power,water_backup,pet_policy,short_term_allowed,airbnb_allowed,building_year,total_floors,tower_count,unit_count,studio_available,1br_available,2br_available,3br_available,4br_plus_available,balcony_common,river_view_available,city_view_available,furnished_typical,washing_machine_typical,bathtub_available,nearby_landmarks,notes,living_summary,verification_status,project_type,project_amenities,common_unit_features,unit_specific_feature_notes
project:j-tower-1,J Tower 1,J Tower 1,,,,,,,,,,,1.5,1.5,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,50.0,50.0,,,,,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2018,24.0,,107.0,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,UNKNOWN,,,24层小体量公寓；泳池、健身房、按摩池、门禁和备用发电明确；管理费约1.50美元/㎡、车位约50美元/月。,PARTIAL,,,,
project:j-tower-2,J Tower 2,J Tower 2,0.25,0.3,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.25,0.25,USD/m3,COMMON_MARKET_PRACTICE,HIGH,,,,,COMMON,50.0,70.0,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,VARIES_BY_UNIT,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,COMMON,UNKNOWN,YES,,,BKK1高层公寓；泳池、健身房、备用电源和24小时安保明确；多条房源显示水费0.25美元/m³、车位50–70美元/月，电费0.25–0.30美元/kWh。,MARKET_RANGE,,,,
project:j-tower-3,J Tower 3,J Tower 3,,,,,,,,,,,,,,,UNKNOWN,,,,,,,YES,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2029 planned,77.0,1.0,360.0,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,,,在建77层住宅塔；规划360套3房，泳池/空中泳池、健身房、桑拿、儿童区和商业/休闲配套已有项目资料；尚未形成实际租住收费。,PARTIAL,,,,
project:la-vista-one,La Vista One,La Vista One,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,0.75,0.75,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,1.0,1.0,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,50.0,50.0,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,ALLOWED_REPORTED,UNKNOWN,UNKNOWN,2025,41.0,,1442.0,YES,YES,YES,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,,,41层河景住宅/服务式公寓；泳池、健身房、儿童区、空中花园、门禁和24小时前台明确；市场资料电费0.25、水0.75、车位50美元/月，管理费约1美元/㎡。,MARKET_RANGE,,,,
project:le-conde-bkk1,Le Condé BKK1,Le Condé,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:m-residence,M Residence,M Residence,0.28,0.28,USD/kWh,OWNER_SPECIFIC,MEDIUM,5.0,5.0,USD/month,OWNER_SPECIFIC,MEDIUM,,,,,COMMON,80.0,80.0,10.0,10.0,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2021,29.0,,378.0,YES,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,COMMON,COMMON,UNKNOWN,,,BKK1服务式公寓；泳池、健身房、儿童区和周清洁/网络套餐较常见；当前运营房源电费0.28美元/kWh、水费5美元/月，停车另收费。,PARTIAL,,,,
project:mesong,MESONG,MESONG,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:morgan-enmaison,摩根天御,Morgan EnMaison,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.3,0.3,USD/m3,COMMON_MARKET_PRACTICE,HIGH,,,,,UNKNOWN,,,,,,,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ALLOWED,UNKNOWN,UNKNOWN,2024,54.0,7.0,4480.0,YES,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,UNKNOWN,,,大型多塔住宅；泳池、健身房、桑拿和门禁安保明确；市场资料电费约0.25美元/kWh、水费约0.30美元/m³；宠物政策资料显示不允许。,MARKET_RANGE,,,,
project:morgan-tower,摩根大厦,Morgan Tower,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:olympia-city,Olympia City,Olympia City,0.275,0.275,USD/kWh,OWNER_SPECIFIC,MEDIUM,0.75,0.75,USD/m3,OWNER_SPECIFIC,MEDIUM,,,,,UNKNOWN,,,,,,,YES,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ALLOWED,UNKNOWN,UNKNOWN,2017,21.0,,1580.0,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,COMMON,UNKNOWN,,,多塔住宅综合体；泳池、健身房、桑拿、儿童区和门禁安保明确；当前租赁资料电费约0.275美元/kWh、水费0.75美元/m³。,PARTIAL,,,,
project:one-70,ONE 70,ONE 70,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:one-park,One Park,One Park Residence,0.25,0.25,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.75,0.75,USD/ton,COMMON_MARKET_PRACTICE,HIGH,,,,,COMMON,40.0,40.0,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2019,,,,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,COMMON,UNKNOWN,UNKNOWN,,,服务式公寓属性明确；泳池、健身房、儿童区、前台安保和备用电源较明确；多条房源一致显示电费0.25美元/kWh、水费0.75美元/吨，车位约40美元/月。,MARKET_RANGE,,,,
project:parc-21,Parc 21,Parc 21,0.25,0.3,USD/kWh,COMMON_MARKET_PRACTICE,MEDIUM,0.25,0.3,USD/m3,COMMON_MARKET_PRACTICE,MEDIUM,0.5,0.5,USD/sqm/month,COMMON_MARKET_PRACTICE,UNKNOWN,50.0,50.0,,,,,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ALLOWED,UNKNOWN,UNKNOWN,2024,22.0,,128.0,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,22层服务式公寓；泳池、健身房、空中酒吧、礼宾和门禁明确；来源对水电费和管理费存在差异，说明租赁套餐/业主条件可能不同。,MARKET_RANGE,,,,
project:picasso-city-garden,毕加索,Picasso City Garden,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:prince-central-plaza,太子中央广场,Prince Central Plaza,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:prince-international-plaza,太子国际广场,Prince International Plaza,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:prince-modern-plaza,太子现代广场,Prince Modern Plaza,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:prince-universe,太子寰宇中心,Prince Universe / 太子·寰宇中心,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:rf-city,富力城,R&F City,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:rose-garden,玫瑰滨江园,Rose Garden,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:royal-one,皇家一号,Royal One,,,,,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,No reliable living-facts evidence captured in this research pass; do not infer project-wide fees from city utility tariffs or single ads.,本轮未取得足够可靠的项目租住费用/管理规则证据；费用和政策暂按具体房源核验。,UNKNOWN,,,,
project:sky-villa,Sky Villa,Sky Villa,0.3,0.3,USD/kWh,COMMON_MARKET_PRACTICE,HIGH,0.7,0.7,USD/m3,COMMON_MARKET_PRACTICE,HIGH,,,,,UNKNOWN,,,,,,,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,PET_FRIENDLY_LISTINGS_EXIST,UNKNOWN,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,COMMON,COMMON,YES,,,大户型服务式住宅；泳池、健身房、桑拿、备用发电和停车较明确；多套房源一致显示电费0.30、水0.70美元，管理费/停车常随租金包含。,MARKET_RANGE,,,,
